name,price,sample,valuable,bench,bench_low,bench_high
Intel Core i9-7980XE £1,100,£1100,4600,53,80.1,70,95
Intel Core i9-9980XE £1,075,£1075,2200,55.2,83,74,93
Intel Core i7-3960X £1,050,£1050,2100,52,77.7,66,89
Intel Xeon E5-2643 0 £729,£729,1000,50.8,68.7,59,77
Intel Core i9-13900KS £684,£684,4200,98.4,131,123,138
Intel Core i9-14900KS £669,£669,547,100,133,124,140
Intel Core i9-9920X £600,£600,1000,67.5,86.4,78,96
Intel Core i7 975 £600,£600,3100,56.5,72.4,63,80
Intel Core i9-7960X £590,£590,2300,65.3,83.2,72,99
AMD Ryzen 9 7950X3D £579,£579,2500,94.5,120,112,124
Intel Core i9-14900 £554,£554,85,98.8,124,111,131
Intel Core i9-13900 £546,£546,685,99.1,124,119,129
Intel Core i7-3970X £543,£543,2600,62.6,77.9,69,87
Intel Core i7-6950X £530,£530,6100,70.2,86.8,77,100
Intel Core i9-13900F £527,£527,824,100,124,120,129
Intel Core i9-14900K £519,£519,12000,106,131,125,137
Intel Core i7-4900MQ £515,£515,5600,55.1,67.6,44,78
Intel Core i7-5960X £500,£500,15000,66.1,80.5,70,94
Intel Core i9-14900F £500,£500,227,101,123,107,130
AMD Ryzen 9 3950X £499,£499,50000,73.4,89.3,79,97
Intel Core i7-3930K £460,£460,33000,62.5,74.4,63,85
Intel Core i9-9900K £450,£450,354000,82.8,97.9,89,104
Intel Core i9-10900 £449,£449,11000,79.5,94,75,102
Intel Xeon W3520 £435,£435,6500,53.9,63.1,53,69
Intel Core i9-14900KF £434,£434,4800,112,131,125,136
Intel Core i9-7920X £430,£430,5400,69.9,81.6,73,91
Intel Core i9-7900X £430,£430,19000,70.1,81.9,72,92
Intel Core i9-13900KF £429,£429,16000,110,129,123,134
AMD Ryzen 9 7900X3D £424,£424,1800,100,117,103,124
Intel Core i9-12900KS £400,£400,7100,104,119,103,128
Intel Core i9-13900K £400,£400,49000,112,129,123,135
Intel Core i9-12900F £398,£398,1500,98.7,113,108,119
AMD Ryzen 9 7950X £389,£389,2400,100,114,103,125
Intel Xeon E5-1650 0 £386,£386,10000,64.1,72.7,65,81
Intel Core i7-14700 £380,£380,293,107,120,100,130
Intel Core i3-10300 £378,£378,391,77.5,87.4,79,95
Intel Core i7-14700K £365,£365,6800,116,130,125,134
Intel Core i7-14700KF £357,£357,3000,117,130,125,133
Intel Core i7-14700F £355,£355,1700,108,120,105,127
AMD Ryzen 9 3900X £350,£350,197000,79.6,87.9,80,97
Intel Core i5-6600K £350,£350,342000,65.6,72.4,57,85
Intel Core i7-13700F £346,£346,5600,110,121,116,125
Intel Core i9-12900 £342,£342,2400,101,111,100,119
Intel Core i9-12900K £341,£341,66000,106,117,107,124
Intel Core i7-9700F £339,£339,54000,84.1,92,74,100
AMD Ryzen 9 7900 £336,£336,1900,99.8,109,98,120
AMD Ryzen 9 7900X £336,£336,2300,104,113,95,122
Intel Core i7-13700 £333,£333,2100,111,121,116,126
Intel Core i7-13700K £333,£333,41000,115,126,120,131
Intel Core i7-4820K £329,£329,23000,66.2,71.8,61,81
AMD Ryzen 7 7800X3D £329,£329,5000,108,117,111,121
Intel Core i7 940 £327,£327,2100,60.5,65.5,54,72
Intel Core i9-12900KF £324,£324,15000,108,117,110,124
Intel Core i9-11900K £323,£323,44000,95.7,103,94,112
Intel Core i7-13700KF £318,£318,20000,117,126,121,131
Intel Core i5-3450S £312,£312,1400,64.4,68.9,60,75
Intel Core i7-3740QM £307,£307,14000,60.5,64.4,40,74
Intel Core i9-9900KF £300,£300,50000,92.5,97.8,90,104
AMD Ryzen 5 1600 £300,£300,392000,66.4,70.2,61,78
Intel Core i9-10850K £295,£295,84000,93.9,98.9,88,105
AMD Ryzen 7 1800X £295,£295,30000,68.2,71.8,58,82
AMD Ryzen 7 5800X3D £293,£293,20000,98.6,104,92,111
AMD Ryzen 7 7700X £290,£290,2700,107,112,99,122
Intel Core i5-14600K £290,£290,2700,118,124,120,129
Intel Core i7-950 £290,£290,36000,62.9,65.9,54,74
Intel Core i5-14600KF £281,£281,3600,119,124,119,129
Intel Core2 Quad Q9300 £279,£279,10000,43.9,45.5,35,52
AMD Ryzen 7 1700X £275,£275,66000,68.8,71,58,80
AMD Ryzen 7 7700 £274,£274,1300,106,109,93,123
Intel Core i5-13600K £272,£272,27000,118,122,117,128
Intel Core i9-11900 £268,£268,3300,97.4,99.9,90,108
Intel Core i9-10900KF £264,£264,21000,97.4,99.5,88,106
Intel Core i9-11900KF £261,£261,17000,102,104,91,112
Intel Xeon W3680 £258,£258,6600,74.2,75.3,68,83
Intel Core i5-13600 £257,£257,97,115,117,113,120
