name,price,sample,valuable,bench,bench_low,bench_high
Hitachi HDS724040ALE640 4TB,328,6200,17.2,70.6,48,91
Toshiba MK6476GSX 640GB,299,4000,1.43,33.3,12,48
Hitachi HDS721075CLA332 750GB,299,3700,2.87,57.3,23,76
WD Black 6TB (2015),292,5400,37.6,91.6,61,118
Seagate SkyHawk 10TB (2016),275,71,48.9,67.2,32,109
WD Red Pro 6TB (2015),272,995,43.9,99.8,64,122
WD Gold 12TB (2017),259,1200,104,113,72,138
WD Gold 6TB (2016),252,2000,47.9,101,69,121
WD Gold 10TB (2016),249,1100,86,107,72,133
Seagate SkyHawk 8TB (2016),236,125,46.9,69.2,45,89
WD Gold 8TB (256MB Cache 2017),235,695,68.4,100,64,124
WD Green 750GB (2009),234,5100,2.64,41.2,23,58
WD Green 6TB (2014),234,4200,38.4,75.1,49,98
WD Black 6TB (2016),227,6400,51.7,97.8,64,121
Seagate IronWolf 10TB (2016),225,347,66.6,74.9,34,113
Seagate ST32000645NS 2TB,222,1000,12.9,71.8,49,88
WD Red Pro 2TB (2014),219,716,13.5,73.9,51,93
WD Red 10TB (2017),219,1700,81.4,89.2,59,114
Seagate Video SV35.6 Series 3TB,215,6300,25.2,90.5,58,114
WD Purple Surveillance 8TB (2017),214,256,61,81.5,48,100
WD Red Pro 4TB (2014),210,679,32,84.1,59,101
WD Red 8TB (2016),208,4200,59.2,76.9,51,97
WD Red 6TB (2014),200,11000,46.3,77.2,49,99
WD Gold 8TB (128MB Cache 2016),194,288,78.3,94.8,65,115
Seagate IronWolf 12TB (2017),192,40,62.2,49.7,24,86
Hitachi HDS723020BLA642 2TB,190,29000,13.8,65.7,40,85
Seagate Barracuda Desktop 5TB,185,3800,33.1,61.3,34,90
Seagate ST32000641AS 2TB,179,8500,13.3,59.4,38,73
Seagate FireCuda 2.5" 2TB,177,71000,10.4,45.9,23,68
WD Green 5TB (2014),170,1800,45.3,76.9,49,97
Seagate SkyHawk 6TB (2016),168,186,48.8,68.3,10,92
Toshiba MD04ACA400 4TB,165,10000,39.7,81.8,55,104
Seagate ST3640323AS 640GB,159,2700,4.2,52.2,34,66
Seagate Barracuda Pro 10TB (2016),158,396,101,80.2,47,111
WD WD4000YR-01PLB0 400GB,155,232,1.45,28.1,18,35
WD Red 8TB (2017),154,4500,88.6,85.5,56,110
WD Purple Surveillance 6TB (2017),154,1700,62.9,80.7,53,99
Toshiba MD04ACA300 3TB,150,151,32.2,80.5,54,101
Seagate Barracuda Pro 6TB (2016),149,321,60.7,75.4,23,118
Toshiba X300 4TB,149,23000,45.1,84,57,104
Seagate Desktop SSHD 4TB,145,19000,40,72.5,44,94
Seagate Barracuda 2TB (2016),141,462000,25.9,91.6,63,114
WD Red 2.5" 1TB (2013),140,1900,6.9,48.4,30,62
Seagate ST3400832A 400GB,138,142,1.63,28.1,9,38
Seagate Barracuda 4TB (2016),137,34000,48.2,82.4,52,105
WD Red 4TB (2013),135,55000,44.4,74.9,46,100
Toshiba P300 3TB,131,74000,39.7,86.6,56,108
Seagate Momentus XT 7200 RPM 2.5" 750GB,125,8300,5.81,48.4,25,63
Seagate SkyHawk 4TB (2016),124,7900,56.1,87.2,53,107
Hitachi HDS5C3030ALA630 3TB,124,3100,24.7,51,29,66
WD VelociRaptor 2.5" 500GB,122,435,7.64,93.2,66,113
Seagate Video SV35.6 Series 2TB,121,12000,29.4,89,56,113
WD WD30EURX 3TB,120,1400,31.7,63.3,39,83
Seagate Desktop HDD 6TB (2015),119,691,90.8,90.3,55,117
Seagate Barracuda 8TB (2017),118,42000,93.6,69,39,90
Maxtor 6Y160M0 160GB,117,432,0.72,26.3,18,33
Maxtor 6Y160M0 164GB,117,776,0.7,25.1,15,32
WD Green 4TB (2013),113,31000,46.6,66.1,39,87
WD Red 6TB (2019),111,374,72.3,66.9,20,97
WD Green 3TB (2011),110,112000,34,62.3,40,83
WD Green 1TB (2011),109,43000,9.42,51.4,28,69
Seagate NAS HDD 2TB,109,3900,27.9,75.9,42,100
Seagate Archive HDD 8TB (2015),107,2200,93.9,62.5,21,87
WD Black 2TB (2010),106,47000,25.3,67,44,85
Toshiba HDWD105 500GB,105,9400,7.43,78,44,104
Hitachi HDS721075KLA330 750GB,105,3900,5.43,38,25,47
WD Se 4TB,102,2500,63.1,80.5,49,100
Seagate Barracuda 3TB (2017),101,26000,38.5,64.8,39,85
Samsung Spinpoint F1 1TB,100,65000,9.49,47.4,31,62
Seagate FireCuda SSHD 2TB (2016),100,133000,33.8,84.5,53,110
WD Gold 2TB (2016),99,5500,35.3,87.8,63,108
WD Red 2TB (2012),98,64000,27.1,66.4,45,86
Seagate IronWolf 2TB (2016),97,8200,33.4,81,51,100
Hitachi HDS721010CLA632 1TB,95,12000,12.2,57.9,30,76
