name,price,sample,valuable,bench,bench_low,bench_high
Samsung 960 Pro NVMe PCIe M.2 2TB,700,3400,39.3,271,162,354
Samsung 870 QVO 8TB,570,3600,49.5,105,71,129
Crucial T705 M.2 4TB,544,79,218,749,492,994
Samsung 960 Pro NVMe PCIe M.2 1TB,500,18000,31.1,279,168,363
Samsung 850 Evo 4TB,470,765,36.5,113,85,133
Samsung 840 Evo 1TB,400,23000,13.6,105,78,126
Crucial T700 M.2 4TB,397,744,270,735,415,994
Samsung 860 QVO 4TB,380,3000,38.6,102,70,124
Samsung 860 Evo 4TB,380,7200,42.9,113,85,133
Crucial M4 256GB mSATA,378,22,2.85,58.7,50,70
Intel 535 Series 240GB,330,9100,4.05,79.2,58,95
Adata S511 240GB,321,59,3.85,73.7,59,86
Samsung 970 Pro NVMe PCIe M.2 1TB,316,38000,51.4,327,215,425
Patriot Inferno 100GB,315,20,1.05,38.1,25,48
Samsung 850 Pro 2TB,315,2600,28.7,108,78,130
SanDisk Extreme 480GB,300,1200,5.35,57.9,45,66
SanDisk Extreme Pro 960GB,300,2800,14.6,93.6,67,114
Crucial T705 M.2 2TB,295,166,221,808,493,1758
WD Black SN850X M.2 4TB,293,8700,241,522,288,683
Samsung 990 Pro M.2 4TB,290,4000,227,488,306,619
Intel 320 Series 300GB,289,2100,3.06,45.8,33,54
Samsung 870 EVO 4TB,287,9400,54.7,117,90,137
Crucial MX200 mSATA 500GB,278,522,8.76,86.7,61,110
Adata XPG SX930 120GB,277,1100,3.07,88.4,60,107
Samsung 870 QVO 4TB,275,10000,51,105,70,128
Intel 520 Series 120GB,270,19000,2.62,74,57,88
Crucial MX500 4TB,270,3600,49.5,101,76,119
Samsung 850 Evo 2TB,265,8500,33.1,112,78,135
Crucial T700 M.2 2TB,257,1800,212,701,475,926
Intel 730 Series 240GB,250,8400,5.29,83.9,67,95
Kingston SSDNow V300 480GB,250,15000,5.53,52.2,36,65
Intel 730 Series 480GB,230,5100,10.8,95.9,71,110
Samsung 860 QVO 2TB,224,28000,32.8,97.9,64,122
SanDisk Z400s 256GB,221,10000,5.23,72,53,84
Samsung 860 Evo 2TB,220,44000,38.3,113,89,133
Crucial P5 3D NVMe PCIe M.2 2TB,220,4200,96.2,283,162,389
Transcend SSD370 512GB,220,1500,10.4,84.5,52,105
Samsung 860 Evo 1TB,220,602000,22.7,112,81,133
Intel 335 Series 240GB,219,4200,5.34,76.8,57,92
Samsung 850 Pro 512GB,215,68000,12.7,102,71,124
Intel SSD Pro 1500 Series 180GB,209,7800,4.02,69.1,54,82
Crucial T705 M.2 1TB,207,124,122,575,400,734
OCZ Vertex 460 120GB,200,1000,3.68,83,61,100
Samsung SM951 NVMe PCIe M.2 512GB,200,12000,27,205,136,262
SanDisk Extreme 240GB,200,7000,5.68,76.2,55,91
Samsung 960 Evo NVMe PCIe M.2 1TB,200,38000,52.4,241,157,302
Crucial MX300 750GB,200,24000,15.6,89.1,67,104
SanDisk Extreme Pro 480GB,200,9200,11.7,93.2,62,114
Samsung 850 Pro 128GB,200,18000,4.59,98.7,71,119
